Ssiderea046003	factor 19
Ssiderea032868	regulation of Cdc42 protein signal transduction
Ssiderea005768	Non-structural maintenance of chromosomes element 1 homolog
Ssiderea002785	translation initiation factor activity
Ssiderea011185	Von Willebrand factor A domain-containing protein 7-like
Ssiderea031360	phenylalanyl-tRNA aminoacylation
Ssiderea007743	regulation of mitotic cell cycle
Ssiderea045601	protein homooligomerization
Ssiderea056922	Domain abundant in complement control proteins; SUSHI repeat; short complement-like repeat (SCR)
Ssiderea031937	PPAK motif
Ssiderea012659	WD repeat-containing protein
Ssiderea023215	GTPase activator activity
Ssiderea013409	serine transport
Ssiderea057463	Cadherin repeats.
Ssiderea052699	MFS_1 like family
Ssiderea047687	Tumor suppressor candidate
Ssiderea029534	folate import across plasma membrane
Ssiderea018820	Wax ester synthase-like Acyl-CoA acyltransferase domain
Ssiderea026312	-
Ssiderea055363	sodium-dependent L-ascorbate transmembrane transporter activity
Ssiderea050866	Alpha-kinase family
Ssiderea003836	Ion channel regulatory protein UNC-93
Ssiderea030169	MAP kinase kinase kinase activity
Ssiderea046208	Serpentine type 7TM GPCR chemoreceptor Srw
Ssiderea035184	Glycosyltransferase family 92
Ssiderea005800	positive regulation of MHC class I biosynthetic process
Ssiderea002208	ubiE/COQ5 methyltransferase family
Ssiderea056322	fibroblast growth factor-activated receptor activity
Ssiderea045065	GTPase activity
Ssiderea61193	RNA-DNA hybrid ribonuclease activity
Ssiderea038744	Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine
Ssiderea001932	Elongator protein 3, MiaB family, Radical SAM
Ssiderea045487	polynucleotide adenylyltransferase activity
Ssiderea010175	WD repeat-containing protein C2orf44 homolog
Ssiderea005240	glutathione hydrolase activity
Ssiderea052613	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
Ssiderea003359	Sterile alpha motif (SAM)/Pointed domain
Ssiderea048747	gamma-aminobutyric acid:proton symporter activity
Ssiderea043365	regulation of mitotic cell cycle
Ssiderea045550	methylated histone binding
Ssiderea015692	lipopolysaccharide-induced transcription factor regulating tumor necrosis factor alpha
Ssiderea000168	NADH-ubiquinone oxidoreductase subunit 10
Ssiderea62690	BRO family, N-terminal domain
Ssiderea057185	Niemann-pick C1
Ssiderea017727	PDZ DHR GLGF domain protein
Ssiderea001997	AMMECR1
Ssiderea020038	B cell affinity maturation
Ssiderea006339	negative regulation of translational initiation in response to stress
Ssiderea015949	G-protein coupled receptor activity
Ssiderea046346	tRNA (cytosine-5-)-methyltransferase activity
Ssiderea59374	protein phosphatase regulator activity
Ssiderea003969	coiled-coil domain containing 57
Ssiderea055632	heparin binding
Ssiderea047660	cobalamin catabolic process
Ssiderea017676	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea035949	Williams-Beuren syndrome chromosomal region 16
Ssiderea001649	ATP P2X receptor
Ssiderea046568	thienylcyclohexylpiperidine binding
Ssiderea032895	Core histone H2A/H2B/H3/H4
Ssiderea025658	retinol dehydrogenase
Ssiderea045957	positive regulation of growth of symbiont in host
Ssiderea020079	transmembrane receptor protein tyrosine kinase activity
Ssiderea023855	PFAM Alcohol dehydrogenase GroES-like domain
Ssiderea058536	chromatin binding
Ssiderea001918	Belongs to the DEAD box helicase family
Ssiderea015180	protein phosphatase 1 regulatory subunit 42
Ssiderea004446	Involved in the maturation of specific proteins in the endoplasmic reticulum
Ssiderea054218	Ubiquitin carboxyl-terminal hydrolase
Ssiderea023788	scavenger receptor activity
Ssiderea052733	development of secondary male sexual characteristics
Ssiderea013208	Serpentine type 7TM GPCR chemoreceptor Srw
Ssiderea054546	Tubulin tyrosine ligase-like family, member 4
Ssiderea022921	Protein tyrosine kinase
Ssiderea039218	Serpentine type 7TM GPCR chemoreceptor Srw
Ssiderea014563	intra-Golgi vesicle-mediated transport
Ssiderea011176	biological adhesion
Ssiderea026734	7 transmembrane receptor (rhodopsin family)
Ssiderea023605	Protein of unknown function (DUF640)
Ssiderea003693	lyase activity
Ssiderea023141	response to unfolded protein
Ssiderea022479	Membrane-associated ring finger (C3HC4) 2
Ssiderea020783	Pyridoxal-dependent decarboxylase conserved domain
Ssiderea053825	non-haem dioxygenase in morphine synthesis N-terminal
Ssiderea027196	Galactosyltransferase
Ssiderea021635	tetraterpenoid metabolic process
Ssiderea044250	Coiled-coil domain-containing protein 154
Ssiderea039142	XK-related protein
Ssiderea005122	thyroid hormone transmembrane transporter activity
Ssiderea054952	Oxidation resistance
Ssiderea014414	negative regulation of synapse assembly
Ssiderea021615	beta-galactosidase activity
Ssiderea059093	Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases.
Ssiderea013137	Si ch211-37e10.1
Ssiderea018829	NAD(P)H-binding
Ssiderea047569	G-protein coupled receptor activity
Ssiderea030754	belongs to the protein kinase superfamily
Ssiderea015608	Major vault protein
Ssiderea045794	mitotic spindle midzone assembly
Ssiderea027515	O-methyltransferase activity
Ssiderea004100	Cyclic nucleotide-monophosphate binding domain
Ssiderea032519	molybdenum ion binding
Ssiderea001319	ATP:guanido phosphotransferase, N-terminal domain
Ssiderea010399	calcium ion-regulated exocytosis of neurotransmitter
Ssiderea028432	Domain of unknown function (DUF4200)
Ssiderea046784	protein kinase activity
Ssiderea049168	DnaJ-class molecular chaperone with C-terminal Zn finger domain
Ssiderea037010	Protein tyrosine kinase
Ssiderea034267	WD repeat
Ssiderea029911	G-protein coupled receptor activity
Ssiderea024686	RING-type zinc-finger
Ssiderea047821	EP4 subtype prostaglandin E2 receptor binding
Ssiderea034377	Ubiquitin-conjugating enzyme
Ssiderea000851	NAD-dependent histone deacetylase activity (H4-K16 specific)
Ssiderea006435	structural constituent of ribosome
Ssiderea057031	Immunoglobulin domain
Ssiderea036490	zinc ion binding
Ssiderea024098	positive regulation of epithelial to mesenchymal transition
Ssiderea058652	transposition, RNA-mediated
Ssiderea043763	G-protein coupled receptor activity
Ssiderea004795	Sulfatase-modifying factor enzyme 1
Ssiderea012137	Actin depolymerisation factor/cofilin -like domains
Ssiderea035360	metalloendopeptidase activity
Ssiderea056824	non-motile cilium assembly
Ssiderea044778	Leucine-rich repeats, outliers
Ssiderea005592	DEK proto-oncogene
Ssiderea61941	PFAM transposase, IS4 family protein
Ssiderea002349	fibroblast growth factor-activated receptor activity
Ssiderea021770	U6 snRNA binding
Ssiderea037965	Protein FAM221A/B
Ssiderea049170	Diphthamide biosynthesis
Ssiderea044861	tRNA methyltransferase 1 homolog (S. cerevisiae)
Ssiderea044655	Phosphomevalonate kinase
Ssiderea017104	FAT atypical cadherin 4
Ssiderea013620	structural constituent of cuticle
Ssiderea042566	Tetratricopeptide repeat
Ssiderea057584	glucose-6-phosphate isomerase activity
Ssiderea046074	Protein tyrosine kinase
Ssiderea005923	ATP binding. It is involved in the biological process described with protein phosphorylation
Ssiderea020890	Serine threonine kinase 35, like
Ssiderea055932	It is involved in the biological process described with receptor-mediated endocytosis
Ssiderea028372	thyroid hormone transmembrane transporter activity
Ssiderea022928	Tumor necrosis factor receptor / nerve growth factor receptor repeats.
Ssiderea058527	zinc ion binding
Ssiderea058556	Solute carrier family 12
Ssiderea022351	G-protein coupled receptor activity
Ssiderea015104	Helix-turn-helix of DDE superfamily endonuclease
Ssiderea049774	Protein tyrosine kinase
Ssiderea038970	unfolded protein binding
Ssiderea012958	Tachylectin
Ssiderea009211	Aggrecan
Ssiderea046485	Belongs to the peptidase M10A family
Ssiderea058353	Common central domain of tyrosinase
Ssiderea032232	Domain of unknown function (DUF4209)
Ssiderea025863	cell surface pattern recognition receptor signaling pathway
Ssiderea049285	Thioredoxin domain-containing protein 11
Ssiderea006498	Common central domain of tyrosinase
Ssiderea041778	Vacuolar sorting protein 9 (VPS9) domain
Ssiderea026422	Myb/SANT-like DNA-binding domain
Ssiderea034419	Melanocortin 3 receptor
Ssiderea018906	mitochondrial translational elongation
Ssiderea038890	polycystic kidney disease protein 1-like
Ssiderea008782	phosphatidylinositol-3,5-bisphosphate binding
Ssiderea004480	Lipoxygenase
Ssiderea026495	triterpenoid metabolic process
Ssiderea058363	peptidyl-prolyl
Ssiderea023235	Histone H2A
Ssiderea026453	DDHD domain containing
Ssiderea034134	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Ssiderea045058	sulfuric ester hydrolase activity
Ssiderea61286	DNA-binding transcription factor activity, RNA polymerase II-specific
Ssiderea045013	major facilitator superfamily
Ssiderea045665	G-protein coupled receptor activity
Ssiderea034927	7 transmembrane receptor (rhodopsin family)
Ssiderea024661	metalloaminopeptidase activity
Ssiderea059173	sequence-specific DNA binding
Ssiderea038605	Poly (ADP-ribose) polymerase
Ssiderea005638	G-protein coupled receptor activity
Ssiderea042606	maintenance of mitotic sister chromatid cohesion
Ssiderea013801	-
Ssiderea048210	protein folding in endoplasmic reticulum
Ssiderea010264	zinc ion binding
Ssiderea039346	microtubule nucleation
Ssiderea011922	Belongs to the arylamine N-acetyltransferase family
Ssiderea023881	Copper ion transmembrane transporter activity. It is involved in the biological process described with copper ion transmembrane transport
Ssiderea039372	organic anion transmembrane transporter activity
Ssiderea053496	Zonadhesin (gene pseudogene)
Ssiderea016649	Belongs to the tropomyosin family
Ssiderea012743	collagen
Ssiderea051341	ATPase activity, coupled to transmembrane movement of substances
Ssiderea009339	hippo signaling
Ssiderea037372	-
Ssiderea007536	protein kinase regulator activity
Ssiderea037106	ATPase activity, coupled to transmembrane movement of substances
Ssiderea052523	cobalamin catabolic process
Ssiderea022231	-
Ssiderea044986	7 transmembrane receptor (rhodopsin family)
Ssiderea026777	GTPase activity
Ssiderea003455	peroxidase activity
Ssiderea034129	Melanocortin 4 receptor
Ssiderea034970	complement activation, lectin pathway
Ssiderea011532	Belongs to the G-protein coupled receptor 2 family
Ssiderea028209	regulation of mitotic cell cycle
Ssiderea017008	polycystic kidney disease protein 1-like
Ssiderea047593	Hepatic leukemia factor
Ssiderea005344	Failed axon connections homolog
Ssiderea041679	Collagen triple helix
Ssiderea034746	brambleberry-like
Ssiderea038602	Starch/carbohydrate-binding module (family 53)
Ssiderea041599	23S rRNA (adenine(1618)-N(6))-methyltransferase activity
Ssiderea034465	radial pattern formation
Ssiderea024644	Lectin, mannose-binding 1
Ssiderea000364	Motif C-terminal to PAS motifs (likely to contribute to PAS structural domain)
Ssiderea035668	Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily
Ssiderea035101	Glycosyltransferase family 92
Ssiderea010585	osmolarity-sensing cation channel activity
Ssiderea002966	Immunoglobulin domain
Ssiderea054444	Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1C gives rise to L-type calcium currents. Long-lasting (L-type) calcium channels belong to the 'high-voltage activated' (HVA) group. They are blocked by dihydropyridines (DHP), phenylalkylamines, benzothiazepines, and by omega-agatoxin-IIIA (omega-Aga-IIIA). They are however insensitive to omega-conotoxin- GVIA (omega-CTx-GVIA) and omega-agatoxin-IVA (omega-Aga-IVA). Calcium channels containing the alpha-1C subunit play an important role in excitation-contraction coupling in the heart. Binding of calmodulin or CABP1 at the same regulatory sites results in an opposit effects on the channel function
Ssiderea035567	Failed axon connections homolog
Ssiderea019099	heme binding
Ssiderea053539	Common central domain of tyrosinase
Ssiderea032950	Failed axon connections homolog
Ssiderea009334	Testis-expressed sequence 30 protein
Ssiderea017477	ATP-dependent microtubule motor activity
Ssiderea011565	Pyridoxal-dependent decarboxylase conserved domain
Ssiderea039210	Fibrillar collagens C-terminal domain
Ssiderea009693	POU domain, class 1, transcription factor 1
Ssiderea60425	Receptor-type tyrosine-protein phosphatase
Ssiderea009071	mitotic DNA replication checkpoint
Ssiderea022857	fibroblast growth factor-activated receptor activity
Ssiderea055020	Cytochrome b5
Ssiderea056860	protein serine/threonine kinase activity
Ssiderea046465	Belongs to the peptidase M10A family
Ssiderea017207	Serologically defined colon cancer antigen 3
Ssiderea058716	Polysaccharide lyase family 8, super-sandwich domain
Ssiderea052667	regulation of BMP signaling pathway
Ssiderea042240	high mobility group
Ssiderea016440	7 transmembrane receptor (rhodopsin family)
Ssiderea014337	Melanocortin 4 receptor
Ssiderea030483	peroxidase activity
Ssiderea048449	heparin binding
Ssiderea045186	V-myb avian myeloblastosis viral oncogene
Ssiderea050714	M-phase phosphoprotein 8
Ssiderea042836	negative regulation of smooth muscle cell differentiation
Ssiderea031967	Mab-21
Ssiderea052211	coagulation factor V
Ssiderea033071	CHAT domain
Ssiderea045336	BIR domain binding
Ssiderea055439	ATPase activity
Ssiderea003473	nucleic acid binding
Ssiderea005679	Centrosome and spindle
Ssiderea050646	Protein tyrosine phosphatase, receptor type S
Ssiderea001654	G-protein coupled receptor activity
Ssiderea047723	zinc ion binding
Ssiderea043611	glutathione hydrolase activity
Ssiderea041925	Transcription factor
Ssiderea032413	regulation of mitotic cell cycle
Ssiderea004646	7 transmembrane receptor (rhodopsin family)
Ssiderea053604	Doublesex and mab-3 related transcription factor like family A2
Ssiderea043347	7 transmembrane receptor (rhodopsin family)
Ssiderea006976	Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine
Ssiderea055364	Isoprenoid synthase
Ssiderea020209	7 transmembrane receptor (rhodopsin family)
Ssiderea057222	Doublesex and mab-3 related transcription factor like family A2
Ssiderea051918	ATPase activity, coupled to transmembrane movement of substances
Ssiderea020241	7 transmembrane receptor (rhodopsin family)
Ssiderea031604	maternal behavior
Ssiderea016957	Methyltransferase domain
Ssiderea005672	Domain of unknown function (DUF4419)
Ssiderea047093	RNA splicing
Ssiderea006518	chondrocyte morphogenesis
Ssiderea022289	Small nuclear ribonucleoprotein
Ssiderea60652	K02A2.6-like
Ssiderea023494	protein kinase regulator activity
Ssiderea033804	DNA binding
Ssiderea050561	melatonin receptor activity
