Ssiderea250769	tRNA guanylyltransferase activity
Ssiderea236369	ER to Golgi vesicle-mediated transport
Ssiderea266140	dolichyl-diphosphooligosaccharide-protein glycotransferase activity
Ssiderea256428	3'-5' exonuclease
Ssiderea225466	serine-type endopeptidase inhibitor activity
Ssiderea247345	G-protein coupled receptor activity
Ssiderea250708	protein C17orf104 homolog
Ssiderea255595	-
Ssiderea219127	Protein disulfide isomerase family A, member 3
Ssiderea222988	ATP binding
Ssiderea226549	Vault protein inter-alpha-trypsin domain
Ssiderea256208	regulation of cohesin loading
Ssiderea248799	NADP-retinol dehydrogenase activity
Ssiderea244667	3',5'-cyclic-GMP phosphodiesterase activity
Ssiderea237085	Cathepsin propeptide inhibitor domain (I29)
Ssiderea268315	inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity
Ssiderea259505	SH3/SH2 adaptor activity
Ssiderea371037	positive regulation of CREB transcription factor activity
Ssiderea258118	Belongs to the actin family
Ssiderea261000	prolyl 4-hydroxylase
Ssiderea259484	frizzled binding
Ssiderea183104	DNA mismatch repair protein
Ssiderea88297	2-oxoglutarate dehydrogenase
Ssiderea240344	7 transmembrane receptor (rhodopsin family)
Ssiderea235569	Belongs to the cyclin family
Ssiderea242607	Phospholipase A2-activating protein
Ssiderea232360	Ubiquitin carboxyl-terminal hydrolase
Ssiderea261271	elongation factor Tu
Ssiderea228568	Transferase activity, transferring acyl groups other than amino-acyl groups
Ssiderea265218	Binding region of GANP to ENY2
Ssiderea245785	regulation of cyclin-dependent protein serine/threonine kinase activity
Ssiderea236664	15-hydroxyprostaglandin dehydrogenase (NAD+) activity
Ssiderea232001	CAAX-box protein maturation
Ssiderea265912	Autophagy-related protein 2 homolog
Ssiderea256263	ATPase activity, coupled to transmembrane movement of substances
Ssiderea164015	stt3a stt3a (staurosporin and temperature sensitive 3-like a)
Ssiderea262235	glutamine-tRNA ligase activity
Ssiderea271364	6-phosphofructokinase activity
Ssiderea237366	succinate dehydrogenase cytochrome b560 subunit
Ssiderea245258	phosphatidylinositol 5-phosphate metabolic process
Ssiderea248951	Putative Interleukin 2 receptor, gamma chain
Ssiderea256579	acyloxyacyl hydrolase activity
Ssiderea267631	olfactory nerve structural organization
Ssiderea250013	inositol hexakisphosphate binding
Ssiderea242458	Dihydrodiol dehydrogenase (dimeric)
Ssiderea255117	guanylate cyclase activity
Ssiderea264464	TIR domain
Ssiderea232642	domain protein 4
Ssiderea215898	-
Ssiderea239195	molting cycle, collagen and cuticulin-based cuticle
Ssiderea257748	early endosome to Golgi transport
Ssiderea222055	Major Facilitator Superfamily
Ssiderea257346	Solute carrier organic anion transporter family, member
Ssiderea230483	Solute carrier family 46, member 3
Ssiderea232466	RNA-directed DNA polymerase from mobile element jockey-like
Ssiderea589552	DEAD-like helicases superfamily
Ssiderea269184	transmembrane protein 199
Ssiderea260144	Transposase IS4
Ssiderea243476	histone binding
Ssiderea234031	gene silencing by RNA
Ssiderea239305	N-terminal C2 in EEIG1 and EHBP1 proteins
Ssiderea263701	RNA secondary structure unwinding
Ssiderea236260	ATP synthesis coupled proton transport
Ssiderea150423	GcpE protein
Ssiderea257681	Belongs to the eukaryotic ribosomal protein eS8 family
Ssiderea345762	zinc ion binding
Ssiderea68671	negative chemotaxis
Ssiderea262630	zinc finger, DHHC-type containing 17
Ssiderea259675	Transcription elongation regulator
Ssiderea252185	Cilia and flagella associated protein 161
Ssiderea252661	NEUZ
Ssiderea222694	polypeptide N-acetylgalactosaminyltransferase activity
Ssiderea185133	Ribonuclease H protein
Ssiderea243134	unfolded protein binding
Ssiderea261825	ribosomal small subunit export from nucleus
Ssiderea270220	myelination
Ssiderea245092	Transcription factor
Ssiderea258199	Transforming acidic coiled-coil-containing protein (TACC)
Ssiderea241667	ectonucleotide pyrophosphatase phosphodiesterase
Ssiderea521457	ATP-dependent microtubule motor activity
Ssiderea250960	ribokinase activity
Ssiderea212267	Gamma-butyrobetaine dioxygenase
Ssiderea233175	lipoprotein receptor-related protein
Ssiderea254982	calmodulin-dependent protein kinase activity
Ssiderea205748	Belongs to the isocitrate and isopropylmalate dehydrogenases family
Ssiderea262777	structural constituent of ribosome
Ssiderea264726	glutathione synthase activity
Ssiderea253493	Domain present in PSD-95, Dlg, and ZO-1/2.
Ssiderea268085	X-ray repair cross-complementing protein 5
Ssiderea227279	ubiquitin protein ligase binding
Ssiderea361222	Ubiquitin carboxyl-terminal hydrolase
Ssiderea229158	Sugar transporter
Ssiderea237859	protein ubiquitination
Ssiderea252079	cAMP-dependent protein kinase regulator activity
Ssiderea233837	Lanthionine synthetase
Ssiderea244199	tryptophan 5-monooxygenase activity
Ssiderea259605	inositol hexakisphosphate binding
Ssiderea188737	translation factor activity, non-nucleic acid binding
Ssiderea263057	alpha-(1->3)-fucosyltransferase activity
Ssiderea245251	START domain
Ssiderea254975	Polycomb group ring finger
Ssiderea227954	Ion transport protein
Ssiderea244490	Bifunctional enzyme that catalyzes the enolization of 2,3-diketo-5-methylthiopentyl-1-phosphate (DK-MTP-1-P) into the intermediate 2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate (HK-MTPenyl-1-P), which is then dephosphorylated to form the acireductone 1,2-dihydroxy-3-keto-5-methylthiopentene (DHK- MTPene)
Ssiderea265432	Ankyrin repeat and FYVE domain containing 1
Ssiderea256135	mannose binding
Ssiderea248514	Belongs to the OSBP family
Ssiderea256341	structural constituent of ribosome
Ssiderea247878	Amine oxidase flavin-containing
Ssiderea221962	Meiosis expressed gene 1 protein homolog
Ssiderea241830	protein targeting to lysosome
Ssiderea542769	Belongs to the small GTPase superfamily. Arf family
Ssiderea328629	Belongs to the glycosyl hydrolase 5 (cellulase A) family
Ssiderea233321	negative regulation of cell growth involved in cardiac muscle cell development
Ssiderea220298	Eukaryotic translation initiation factor 3, subunit
Ssiderea260010	ubiquitin protein ligase binding
Ssiderea238106	major facilitator superfamily
Ssiderea253080	alpha-L-fucosidase activity
Ssiderea242355	DBH-like monooxygenase protein 1
Ssiderea254857	acetylation-dependent protein binding
Ssiderea261533	Transcriptional regulator, Out at first
Ssiderea261192	protein disulfide isomerase activity
Ssiderea252048	Band 4.1 homologues
Ssiderea271491	L-fuconate dehydratase activity
Ssiderea345912	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Ssiderea270413	microtubule binding
Ssiderea251314	membrane addition at site of cytokinesis
Ssiderea246911	-
Ssiderea271814	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
Ssiderea246569	DnaJ molecular chaperone homology domain
Ssiderea180812	ATP binding
Ssiderea262372	polyribonucleotide nucleotidyltransferase 1
Ssiderea237453	Family with sequence similarity 154, member B
Ssiderea269210	ATP-dependent RNA helicase DDX58
Ssiderea250373	spliceosomal tri-snRNP complex assembly
Ssiderea251799	NAD(P)H-binding
Ssiderea261588	Translocase of inner mitochondrial membrane 21
Ssiderea262699	Wnt-activated receptor activity
Ssiderea271615	ubiquitin protein ligase binding
Ssiderea256767	protein tyrosine phosphatase activity
Ssiderea264380	GTPase activator activity
Ssiderea266593	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea257868	E3 ubiquitin-protein ligase
Ssiderea268930	MAM domain, meprin/A5/mu
Ssiderea254666	negative regulation of smooth muscle cell differentiation
Ssiderea247565	RNA-binding protein 3
Ssiderea244009	CD151 antigen, like
Ssiderea264935	protein folding in endoplasmic reticulum
Ssiderea235578	Essential component of the vacuolar proton pump (V- ATPase), a multimeric enzyme that catalyzes the translocation of protons across the membranes. Required for assembly and activity of the V-ATPase
Ssiderea254215	G-protein beta/gamma-subunit complex binding
Ssiderea214350	methyltransferase activity
Ssiderea259419	Centrosomal protein
Ssiderea247929	-
Ssiderea250529	Forkhead box
Ssiderea259696	Peptidyl-prolyl cis-trans isomerase CWC27 homolog
Ssiderea238676	Folate receptor family
Ssiderea261595	Dual specificity protein kinase
Ssiderea77133	zinc ion binding
Ssiderea227556	positive regulation of motile cilium assembly
Ssiderea270798	transposition, RNA-mediated
Ssiderea153544	-
Ssiderea240800	GABA-A receptor activity
Ssiderea253754	protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1
Ssiderea264264	Poly (ADP-ribose) polymerase
Ssiderea258669	Wnt-protein binding
Ssiderea259122	tripartite motif containing
Ssiderea256054	Acid sphingomyelinase-like phosphodiesterase 3b
Ssiderea249388	MAK16 homolog
Ssiderea259604	ATP binding
Ssiderea246143	Carboxylesterase family
Ssiderea270589	platelet formation
Ssiderea258520	hematopoietic progenitor cell differentiation
Ssiderea230607	positive regulation of growth hormone receptor signaling pathway
Ssiderea249558	protein tyrosine/serine/threonine phosphatase activity
Ssiderea265118	BAR domain of APPL family
Ssiderea193332	CP2 mannose-ethanolamine phosphotransferase activity
Ssiderea262063	regulation of phosphorylation of RNA polymerase II C-terminal domain
Ssiderea270394	Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family
Ssiderea236644	ABC-2 type transporter
Ssiderea271386	-
Ssiderea268057	hypochlorous acid biosynthetic process
Ssiderea245398	DEAD/DEAH box helicase
Ssiderea32172	-
Ssiderea237210	anterior/posterior pattern specification
Ssiderea216230	Myosin, light
Ssiderea261762	Rab guanyl-nucleotide exchange factor activity
Ssiderea257174	ATPase activity
Ssiderea240316	histone H4-K16 acetylation
Ssiderea259960	regulation of Ral protein signal transduction
Ssiderea237985	Flavin-binding monooxygenase-like
Ssiderea259695	oligopeptide transmembrane transporter activity
Ssiderea209180	ribulose-phosphate 3-epimerase activity
Ssiderea252138	Threonine dehydratase
Ssiderea220828	Serine threonine kinase
Ssiderea235662	DNA-binding transcription factor activity
Ssiderea235506	Death associated protein 3
Ssiderea232508	beta-galactosidase activity
Ssiderea194237	regulation of centriole replication
Ssiderea254883	Belongs to the SelWTH family. Selenoprotein T subfamily
Ssiderea15979	NACHT and WD repeat
Ssiderea235844	ubiquitin protein ligase binding
Ssiderea226540	oxidoreductase activity
Ssiderea268630	Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family
Ssiderea260707	Trypsin-like serine protease
Ssiderea243399	Yip1 domain family member 3
Ssiderea256852	huntingtin interacting protein K
Ssiderea248776	phosphatidylinositol binding
Ssiderea226563	ITP binding
Ssiderea336014	phosphatidylinositol phospholipase C activity
Ssiderea271991	-
Ssiderea261785	guanylate kinase activity
Ssiderea172574	ribosomal protein S3a
Ssiderea247782	TPR repeat
Ssiderea243484	CS domain
Ssiderea266060	endocytic recycling
Ssiderea258050	positive regulation of natural killer cell degranulation
Ssiderea221391	transcription by RNA polymerase I
Ssiderea146666	DNA-directed 5'-3' RNA polymerase activity
Ssiderea250600	ubiquitin-protein transferase activity
Ssiderea238564	-
Ssiderea248549	decarboxylase
Ssiderea247471	3'-nucleotidase activity
Ssiderea217695	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
Ssiderea249451	voltage-gated anion channel activity
Ssiderea257214	negative regulation of bleb assembly
Ssiderea243200	Solute carrier family 13
Ssiderea247303	protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1
Ssiderea238937	COG0145 N-methylhydantoinase A acetone carboxylase beta subunit
Ssiderea182659	Demethylates proteins that have been reversibly carboxymethylated
Ssiderea246883	RAD51 homolog B (S. cerevisiae)
Ssiderea262675	regulation of sequestering of zinc ion
Ssiderea247048	lysosomal lumen pH elevation
Ssiderea333808	Cytochrome c oxidase subunit Va
Ssiderea241620	EF-hand domain
Ssiderea228919	translation initiation factor activity
Ssiderea268254	steroid hormone receptor activity
Ssiderea254461	GTP binding
Ssiderea252633	Protein phosphatase PTC7 homolog
Ssiderea259439	Belongs to the cullin family
Ssiderea266136	GTPase activity
Ssiderea257352	Ion channel regulatory protein UNC-93
Ssiderea251335	calcium ion-regulated exocytosis of neurotransmitter
Ssiderea267976	Receptor L domain
Ssiderea254815	omega-6 fatty acid desaturase activity
Ssiderea255253	protein disulfide isomerase activity
Ssiderea270097	DNA (cytosine-5-)-methyltransferase activity, acting on CpN substrates
Ssiderea269193	Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily
Ssiderea263837	Family with sequence similarity 86 member
Ssiderea270926	negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Ssiderea224839	polysaccharide localization
Ssiderea260038	Ribonuclease H protein
Ssiderea227722	Universal stress protein family
Ssiderea238163	extracellularly glycine-gated chloride channel activity
Ssiderea182442	It is involved in the biological process described with
Ssiderea248207	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity
Ssiderea257015	family with sequence similarity 175, member B
Ssiderea199325	-
Ssiderea270579	factor 8
Ssiderea222821	TMEM101 protein family
Ssiderea260997	ATP-dependent DNA helicase
Ssiderea241326	protein localization to phagophore assembly site
Ssiderea271470	pyruvate dehydrogenase (NAD+) activity
Ssiderea265777	3-hydroxy-3-methylglutaryl-coenzyme A
Ssiderea241313	L-asparagine biosynthetic process
Ssiderea250887	positive regulation of interferon-beta production
Ssiderea229329	nuclear migration
Ssiderea262750	fibroblast growth factor-activated receptor activity
Ssiderea256716	Calcium-binding EGF domain
Ssiderea249436	NHL repeat-containing protein 2
Ssiderea247838	vesicle docking involved in exocytosis
Ssiderea240515	negative regulation of superoxide anion generation
Ssiderea238795	SMG9 nonsense mediated mRNA decay factor
Ssiderea267399	lipoprotein receptor-related protein
Ssiderea221812	DNA-binding transcription factor activity
Ssiderea265120	Phospholipase B domain containing 2
Ssiderea250519	smoothened signaling pathway
Ssiderea233102	Soluble NSF attachment protein, SNAP
Ssiderea260915	zinc finger
Ssiderea233563	ABC transporter transmembrane region
Ssiderea271721	BRO1-like domain
Ssiderea228413	phosphatidate cytidylyltransferase activity
Ssiderea231825	carbohydrate binding
Ssiderea249541	Haloacid dehalogenase-like hydrolase
Ssiderea271985	trimming of terminal mannose on B branch
Ssiderea262048	maturation of 5.8S rRNA
Ssiderea209497	transcriptional enhancer factor
Ssiderea258038	cellular response to calcium ion
Ssiderea233950	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
Ssiderea100900	regulation of replicative cell aging
Ssiderea223975	chromatin remodeling
Ssiderea207139	transketolase
Ssiderea226706	Ribonuclease H protein
Ssiderea243190	voltage-gated potassium channel activity
Ssiderea181669	Aldo/keto reductase family
Ssiderea259164	ribosomal small subunit export from nucleus
