Ssiderea256452	guanine/thymine mispair binding
Ssiderea254525	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Ssiderea256061	Wnt-activated receptor activity
Ssiderea256492	zinc ion binding
Ssiderea163610	L-glutamate import across plasma membrane
Ssiderea255488	ATPase activity, coupled to transmembrane movement of substances
Ssiderea254952	Myotubularin related protein 14
Ssiderea252851	Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family
Ssiderea260031	-
Ssiderea228639	Uncharacterized conserved protein (DUF2039)
Ssiderea260790	amyloid-beta metabolic process
Ssiderea255908	abhydrolase domain-containing protein
Ssiderea254663	Map microtubule affinity-regulating kinase
Ssiderea245763	Transposase DDE domain
Ssiderea286743	regulation of brain-derived neurotrophic factor-activated receptor activity
Ssiderea378904	UDP-Gal betaGlcNAc beta 1,4- galactosyltransferase, polypeptide
Ssiderea237088	Chondroitin sulfate synthase
Ssiderea219083	Integrase core domain
Ssiderea259230	guanyl-nucleotide exchange factor activity
Ssiderea217396	ORMDL sphingolipid biosynthesis regulator
Ssiderea263084	maintenance of animal organ identity
Ssiderea114288	signal peptide processing
Ssiderea257800	fucose metabolic process
Ssiderea255927	Protein of unknown function (DUF1356)
Ssiderea211819	protein heterodimerization activity
Ssiderea259817	heme binding
Ssiderea261351	microtubule binding
Ssiderea117930	regulation of sequestering of zinc ion
Ssiderea237078	pectin acetylesterase activity
Ssiderea217736	Si dkey-19e4.5
Ssiderea240742	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
Ssiderea236789	iron-sulfur cluster assembly 1
Ssiderea259971	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Ssiderea262939	voltage-gated chloride channel activity
Ssiderea260728	ATPase activity, coupled to transmembrane movement of substances
Ssiderea238250	alkaline phosphatase activity
Ssiderea260393	7 transmembrane receptor (rhodopsin family)
Ssiderea250046	calcium-dependent cysteine-type endopeptidase activity
Ssiderea240085	B-cell translocation gene 1
Ssiderea253466	Ankyrin repeat
Ssiderea238891	photoreceptor activity
Ssiderea242776	Catalyzes the formation of formate and 2-keto-4- methylthiobutyrate (KMTB) from 1,2-dihydroxy-3-keto-5- methylthiopentene (DHK-MTPene)
Ssiderea162207	outer dynein arm assembly
Ssiderea170472	protein dimerization activity
Ssiderea256326	regulation of myosin II filament organization
Ssiderea230597	oxidoreductase activity
Ssiderea238254	voltage-gated potassium channel activity
Ssiderea234625	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Ssiderea263596	Tetraspanin-7
Ssiderea263132	G patch domain-containing protein
Ssiderea262282	NEUZ
Ssiderea241943	serine-type endopeptidase activity
Ssiderea261276	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Ssiderea258912	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea252665	7 transmembrane receptor (rhodopsin family)
Ssiderea164234	Ring finger
Ssiderea244161	Belongs to the G-protein coupled receptor 1 family
Ssiderea60790	cat eye syndrome
Ssiderea256396	homogentisate 1,2-dioxygenase activity
Ssiderea219121	metal ion binding
Ssiderea261712	ATPase activity, coupled to transmembrane movement of substances
Ssiderea260958	Tyrosine kinase, catalytic domain
Ssiderea298957	Phosphatidylinositol 3- and 4-kinase
Ssiderea260112	Belongs to the p53 family
Ssiderea255030	Glycosyl hydrolase family 20, catalytic domain
Ssiderea257440	T-complex-associated testis-expressed protein 1
Ssiderea246869	RAB30, member RAS oncogene family
Ssiderea250353	Cancer susceptibility candidate
Ssiderea262546	protein ubiquitination
Ssiderea255223	Microtubule-associated protein RP EB family member 3
Ssiderea242280	oxidation-reduction process
Ssiderea246666	Haloacid dehalogenase-like hydrolase
Ssiderea252163	poly(A)+ mRNA export from nucleus
Ssiderea231035	La ribonucleoprotein domain family member 6
Ssiderea210867	cotranslational protein targeting to membrane
Ssiderea88810	Specifically catalyzes the NAD or NADP-dependent dehydrogenation of L-aspartate to iminoaspartate
Ssiderea244169	Ras family
Ssiderea261473	DNA catabolic process
Ssiderea263345	positive regulation of protein exit from endoplasmic reticulum
Ssiderea523555	Ribosomal large subunit proteins 60S L5, and 50S L18
Ssiderea245598	BTB/POZ domain
Ssiderea232914	superoxide dismutase copper chaperone activity
Ssiderea230241	ribosomal protein L21
Ssiderea261904	FAD transmembrane transport
Ssiderea248788	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea258846	Glucosaminyl (N-acetyl) transferase 3, mucin type
Ssiderea260671	Ribonuclease H protein
Ssiderea261818	peroxisome matrix targeting signal-1 binding
Ssiderea221749	catechol O-methyltransferase activity
Ssiderea255260	Peptidyl-prolyl cis-trans isomerase CWC27 homolog
Ssiderea232712	dosage compensation by inactivation of X chromosome
Ssiderea262011	metal ion binding
Ssiderea260579	protein heterodimerization activity
Ssiderea247324	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)
Ssiderea256513	YTH domain containing 1
Ssiderea231160	polypeptide N-acetylgalactosaminyltransferase
Ssiderea232879	prolyl 4-hydroxylase
Ssiderea237981	epithelial cilium movement involved in determination of left/right asymmetry
Ssiderea252155	zinc finger
Ssiderea102599	polycystic kidney disease protein 1-like
Ssiderea240332	RmlD substrate binding domain
Ssiderea250561	mannosylation
Ssiderea225244	Integral membrane protein DUF92
Ssiderea286605	Elongation factor P (EF-P) OB domain
Ssiderea248899	adherens junction maintenance
Ssiderea223137	oxidation-reduction process
Ssiderea239015	TAF6-like RNA polymerase II, p300 CBP-associated
Ssiderea254247	Thioesterase-like superfamily
Ssiderea251545	renal sodium ion absorption
Ssiderea338118	spectrin binding
Ssiderea249832	ADP biosynthetic process
Ssiderea260587	nucleoside:sodium symporter activity
Ssiderea248379	hydrolase
Ssiderea217604	Adenosylhomocysteinase
Ssiderea262676	Centromere protein M (CENP-M)
Ssiderea255279	regulation of lamellipodium assembly
Ssiderea260259	nmrA-like family domain-containing protein
Ssiderea237285	neurexin family protein binding
Ssiderea255028	CHAT domain
Ssiderea244590	positive regulation of ruffle assembly
Ssiderea253703	Belongs to the complex I LYR family
Ssiderea259885	protein modification by small protein conjugation
Ssiderea254589	Rab guanyl-nucleotide exchange factor activity
Ssiderea253292	negative regulation of cell proliferation involved in heart valve morphogenesis
Ssiderea252183	L-pipecolate oxidase activity
Ssiderea235460	ATPase activity, coupled to transmembrane movement of substances
Ssiderea208723	trans-synaptic signaling by soluble gas, modulating synaptic transmission
Ssiderea262708	phosphatidylinositol-3,4,5-trisphosphate binding
Ssiderea262065	histone H3-K27 demethylation
Ssiderea260459	JUN kinase kinase kinase activity
Ssiderea260461	proteasome-mediated ubiquitin-dependent protein catabolic process
Ssiderea239001	Calmodulin mediates the control of a large number of enzymes, ion channels and other proteins by Ca(2 ). Among the enzymes to be stimulated by the calmodulin-Ca(2 ) complex are a number of protein kinases and phosphatases
Ssiderea255048	folate import across plasma membrane
Ssiderea257633	tRNA threonylcarbamoyladenosine modification
Ssiderea244771	negative regulation of fatty acid biosynthetic process
Ssiderea243162	phosphatidylethanolamine binding
Ssiderea227848	Functions as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
Ssiderea255885	riboflavin transmembrane transporter activity
Ssiderea228720	ribosomal large subunit assembly
Ssiderea149454	actin binding
Ssiderea234695	May play a role in cell cycle regulation. Dual specificity phosphatase active toward substrates containing either phosphotyrosine or phosphoserine residues
Ssiderea203169	retinoic acid-responsive element binding
Ssiderea260107	pre-replicative complex assembly involved in nuclear cell cycle DNA replication
Ssiderea252203	Component of ribonuclease P, a protein complex that generates mature tRNA molecules by cleaving their 5'-ends. Also a component of RNase MRP complex, which cleaves pre-rRNA sequences
Ssiderea249665	Universal stress protein family
Ssiderea438684	Seems to be required for maximal rate of protein biosynthesis. Enhances ribosome dissociation into subunits and stabilizes the binding of the initiator Met-tRNA(I) to 40 S ribosomal subunits
Ssiderea316744	DNA binding
Ssiderea260713	Belongs to the PI3 PI4-kinase family
Ssiderea246758	Gamma-glutamyltranspeptidase 2-like
Ssiderea199239	transcription initiation from RNA polymerase II promoter
Ssiderea199913	microtubule binding
Ssiderea234818	v-akt murine thymoma viral oncogene homolog
Ssiderea259027	nuclear factor of activated T-cells 5
Ssiderea256683	Belongs to the OSBP family
Ssiderea243296	Wnt-activated receptor activity
Ssiderea244246	L-iduronidase activity
Ssiderea7722	ATP-dependent DNA helicase RecQ
Ssiderea249322	Tho complex
Ssiderea232567	Ras-related C3 botulinum toxin substrate
Ssiderea256003	voltage-gated potassium channel activity
Ssiderea259805	RNA-directed 5'-3' RNA polymerase activity
Ssiderea164286	NADH dehydrogenase ubiquinone iron-sulfur protein 3, mitochondrial
Ssiderea260355	peptidyl-glycine alpha-amidating monooxygenase
Ssiderea209944	G-protein coupled receptor activity
Ssiderea245082	pseudouridine 5'-phosphatase activity
Ssiderea254085	Belongs to the MIP aquaporin (TC 1.A.8) family
Ssiderea223171	serine-type endopeptidase activity
Ssiderea256972	tRNA methyltransferase activity
Ssiderea255214	Filamin C, gamma
Ssiderea243868	regulation of mitotic cell cycle
Ssiderea262451	H3K27me3 modified histone binding
Ssiderea228417	tRNA 5'-leader removal
Ssiderea259826	mitotic DNA replication checkpoint
Ssiderea254164	17-beta-hydroxysteroid dehydrogenase (NAD+) activity
Ssiderea251642	G-protein coupled receptor activity
Ssiderea260798	heme binding
Ssiderea225267	DNA replication-dependent nucleosome assembly
Ssiderea209598	calcium channel activity
Ssiderea254702	WD domain, G-beta repeat
Ssiderea243826	NAD-dependent protein deacetylase sirtuin-6
Ssiderea220897	locomotory exploration behavior
Ssiderea151116	glutamine biosynthetic process
Ssiderea263688	EPH receptor A2
Ssiderea127283	von Willebrand factor (vWF) type A domain
Ssiderea246557	obsolete TFIIIB-type transcription factor activity
Ssiderea260646	cobalamin binding
Ssiderea224667	Sarcoplasmic reticulum histidine-rich calcium-binding protein
Ssiderea235758	motor activity
Ssiderea187673	Golgi to vacuole transport
Ssiderea251566	Sel1-like repeats.
Ssiderea249941	GTPase activator activity
Ssiderea254504	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks
Ssiderea246839	translation elongation factor activity
Ssiderea224961	zinc ion binding
Ssiderea257061	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Ssiderea263652	acidic dipeptidase
Ssiderea226165	Belongs to the ligand-gated ion channel (TC 1.A.9) family
Ssiderea238741	nucleotide-excision repair, DNA incision, 3'-to lesion
Ssiderea243254	pyrimidine nucleotide-sugar transmembrane transporter activity
Ssiderea250177	helicase activity
Ssiderea260621	ATP P2X receptor
Ssiderea250277	threonine-type endopeptidase activity
Ssiderea100628	Lysine methyltransferase
Ssiderea241622	RmlD substrate binding domain
Ssiderea259481	Chromosome 17 open reading frame 53
Ssiderea257063	Zinc finger protein 106
Ssiderea262059	heterogeneous nuclear ribonucleoprotein
Ssiderea246397	phosphatidylinositol-4-phosphate phosphatase activity
Ssiderea209279	Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases.
Ssiderea260817	endoribonuclease activity, cleaving siRNA-paired mRNA
Ssiderea200630	Thyroid hormone receptor interactor 4
Ssiderea199964	Produces ATP from ADP in the presence of a proton gradient across the membrane
Ssiderea263268	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea245526	negative regulation of cell growth involved in cardiac muscle cell development
Ssiderea249116	biological adhesion
Ssiderea254101	serine-type carboxypeptidase activity
Ssiderea250396	ubiquitin-protein transferase activity
Ssiderea199191	GTP-binding protein involved in nucleocytoplasmic transport. Required for the import of protein into the nucleus and also for RNA export. Involved in chromatin condensation and control of cell cycle
Ssiderea224263	DNA binding
Ssiderea234122	Belongs to the protein kinase superfamily. AGC Ser Thr protein kinase family. GPRK subfamily
Ssiderea254543	Transposase IS4
Ssiderea258276	transporter activity
Ssiderea247161	glycoside hydrolase family 63
Ssiderea262518	positive regulation of aldosterone biosynthetic process
Ssiderea231786	base-excision repair
Ssiderea128903	Fibronectin type 2 domain
Ssiderea229669	transcription corepressor activity
Ssiderea262595	negative regulation of DNA replication
Ssiderea241296	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea249762	DNA-binding transcription factor activity
Ssiderea261246	GTPase activity
Ssiderea237590	prolyl 4-hydroxylase
Ssiderea241609	endosomal vesicle fusion
Ssiderea215104	cyclin-dependent protein serine/threonine kinase activity
Ssiderea251408	mitochondrial transport
Ssiderea256315	Xylose isomerase
Ssiderea355324	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Ssiderea250554	4-alpha-hydroxytetrahydrobiopterin dehydratase activity
Ssiderea227822	photoreceptor activity
Ssiderea44750	Belongs to the small GTPase superfamily. Arf family
Ssiderea261392	solute carrier family 15
Ssiderea213778	Integrase core domain
Ssiderea248311	GTPase activator activity
Ssiderea210823	Belongs to the BI1 family
Ssiderea245748	Solute carrier family 12
Ssiderea238724	factor 1 alpha subunit inhibitor
Ssiderea208860	serine threonine-protein kinase
Ssiderea260597	distal tubule morphogenesis
Ssiderea253870	DDE superfamily endonuclease
Ssiderea255628	Domain of unknown function (DUF4457)
Ssiderea254060	NAD(P)H-binding
Ssiderea199561	Nuclear export mediator factor
Ssiderea262720	RNA acetylation
Ssiderea261887	trypsinogen activation
Ssiderea245202	posttranslational protein targeting to endoplasmic reticulum membrane
